node_id,window_start,window_end,pdr_mean,pdr_var,pdr_corrected,speed_kmh,is_handoff,kl_divergence,autocorr_peak,rsu_id,packets_received_total,packets_forwarded_total,ground_truth_label,is_attacker,label_multiclass,label_binary
5,175.0,185.0,0.83,0.0094,0.8334,80.9,1,0.0797,0.0005,RSU_03,113,93,BENIGN,0,0,0
5,42.0,52.0,0.7898,0.0215,0.7932,80.1,0,0.0188,0.0301,RSU_03,74,58,BENIGN,0,0,0
5,475.0,485.0,0.9438,0.021,0.947,77.9,0,0.0765,0.0481,RSU_03,117,110,BENIGN,0,0,0
5,491.0,501.0,0.9275,0.0309,0.9304,68.6,0,0.0314,0.0663,RSU_03,122,110,BENIGN,0,0,0
5,86.0,96.0,0.9287,0.0131,0.931,55.7,0,0.0082,0.0265,RSU_03,63,58,BENIGN,0,0,0
5,380.0,390.0,0.8726,0.0144,0.876,82.3,0,0.0519,0.047,RSU_03,146,125,BENIGN,0,0,0
5,11.0,21.0,0.8446,0.0084,0.8473,65.0,0,0.0138,0.064,RSU_03,141,116,BENIGN,0,0,0
5,369.0,379.0,0.9497,0.0187,0.9533,86.7,0,0.0579,0.0844,RSU_03,96,91,BENIGN,0,0,0
5,208.0,218.0,0.8265,0.0156,0.8295,70.8,0,0.0413,0.0507,RSU_03,125,103,BENIGN,0,0,0
5,364.0,374.0,0.8006,0.0192,0.8039,78.3,0,0.0757,0.0561,RSU_03,116,94,BENIGN,0,0,0
5,426.0,436.0,0.8423,0.039,0.8454,74.1,0,0.0562,0.0173,RSU_03,97,81,BENIGN,0,0,0
5,297.0,307.0,0.7843,0.0004,0.7882,93.1,0,0.0616,0.0646,RSU_03,79,59,BENIGN,0,0,0
5,469.0,479.0,0.7992,0.0132,0.8029,90.1,0,0.0311,0.0306,RSU_03,63,50,BENIGN,0,0,0
5,39.0,49.0,0.9513,0.0025,0.955,88.5,0,0.0198,0.0876,RSU_03,139,132,BENIGN,0,0,0
5,421.0,431.0,0.8947,0.019,0.8986,93.4,0,0.0307,0.0193,RSU_03,64,56,BENIGN,0,0,0
5,354.0,364.0,0.8128,0.0022,0.816,76.7,1,0.0321,0.0337,RSU_03,113,91,BENIGN,0,0,0
5,63.0,73.0,0.8887,0.0237,0.8924,89.7,0,0.0615,0.009,RSU_03,127,110,BENIGN,0,0,0
5,400.0,410.0,0.9058,0.0189,0.9089,74.0,0,0.027,0.0374,RSU_03,87,77,BENIGN,0,0,0
