node_id,window_start,window_end,pdr_mean,pdr_var,pdr_corrected,speed_kmh,is_handoff,kl_divergence,autocorr_peak,rsu_id,packets_received_total,packets_forwarded_total,ground_truth_label,is_attacker,label_multiclass,label_binary
3,0.0,10.0,0.8744,0.0111,0.877,60.4,1,0.0755,0.0884,RSU_01,58,55,BENIGN,0,0,0
3,1.0,11.0,0.8908,0.0134,0.8936,68.1,0,0.0166,0.08,RSU_01,112,96,BENIGN,0,0,0
3,2.0,12.0,0.8892,0.016,0.892,66.5,0,0.0417,0.0779,RSU_01,84,72,BENIGN,0,0,0
3,3.0,13.0,0.7559,0.0588,0.7588,69.5,1,1.7586,0.1054,RSU_01,105,81,S3_DP_TS,1,3,1
3,4.0,14.0,0.8853,0.0347,0.8878,60.0,0,0.0636,0.0963,RSU_01,57,52,BENIGN,0,0,0
3,5.0,15.0,0.431,0.0212,0.434,73.7,0,0.0167,0.1468,RSU_01,87,37,S1_DP_FR,1,1,1
3,6.0,16.0,0.6279,0.1652,0.6308,69.6,0,0.1033,0.566,RSU_01,140,89,S2_DP_IT,1,2,1
3,7.0,17.0,0.5115,0.0226,0.515,82.1,0,0.0968,0.1494,RSU_01,61,31,S1_DP_FR,1,1,1
3,8.0,18.0,0.7918,0.0203,0.7939,52.2,0,0.0697,0.0213,RSU_01,92,72,BENIGN,0,0,0
3,9.0,19.0,0.8891,0.0253,0.8914,56.5,0,0.0641,0.0452,RSU_01,131,114,BENIGN,0,0,0
3,10.0,20.0,0.8972,0.0023,0.9006,81.7,0,0.0136,0.0285,RSU_01,78,67,BENIGN,0,0,0
3,11.0,21.0,0.8253,0.0354,0.828,64.6,0,0.0068,0.0444,RSU_01,134,108,BENIGN,0,0,0
3,12.0,22.0,0.9844,0.0357,0.9872,66.6,0,0.0274,0.0998,RSU_01,50,45,BENIGN,0,0,0
3,13.0,23.0,0.4873,0.0483,0.4902,68.4,0,0.5529,0.5557,RSU_01,131,60,S5_CP_IT,1,5,1
3,14.0,24.0,0.3157,0.0594,0.3185,65.6,0,0.929,0.103,RSU_01,56,18,S5_CP_IT,1,5,1
3,15.0,25.0,0.8452,0.0311,0.8485,77.8,1,0.0435,0.0832,RSU_01,61,51,BENIGN,0,0,0
3,16.0,26.0,0.9458,0.0325,0.9497,93.2,0,0.0155,0.0237,RSU_01,137,128,BENIGN,0,0,0
3,17.0,27.0,0.8671,0.0014,0.8698,65.0,0,0.0257,0.0764,RSU_01,146,128,BENIGN,0,0,0
3,18.0,28.0,0.586,0.1354,0.589,72.3,0,0.594,0.0021,RSU_01,54,32,S4_CP_FR,1,4,1
3,19.0,29.0,0.6594,0.1889,0.6625,74.4,0,0.0388,0.6172,RSU_01,125,80,S2_DP_IT,1,2,1
3,20.0,30.0,0.8941,0.039,0.897,69.1,0,0.0294,0.0208,RSU_01,141,129,BENIGN,0,0,0
3,21.0,31.0,0.5247,0.0169,0.5278,74.5,0,0.0999,0.0869,RSU_01,54,28,S1_DP_FR,1,1,1
3,22.0,32.0,0.8405,0.0078,0.8433,67.2,0,0.0779,0.0362,RSU_01,110,94,BENIGN,0,0,0
3,23.0,33.0,0.8648,0.0345,0.8681,78.4,0,0.0145,0.0544,RSU_01,145,125,BENIGN,0,0,0
3,24.0,34.0,0.9783,0.0109,0.9815,75.9,0,0.0136,0.0484,RSU_01,120,119,BENIGN,0,0,0
3,25.0,35.0,0.767,0.0702,0.7697,65.7,0,0.9036,0.1951,RSU_01,136,103,S3_DP_TS,1,3,1
3,26.0,36.0,0.9853,0.0021,0.9884,74.7,0,0.0282,0.0429,RSU_01,132,128,BENIGN,0,0,0
3,27.0,37.0,0.7838,0.0321,0.7872,80.1,0,0.0758,0.0032,RSU_01,54,38,BENIGN,0,0,0
3,28.0,38.0,0.3993,0.1089,0.4029,87.6,0,0.9629,0.1236,RSU_01,115,42,S6_CP_TS,1,6,1
3,29.0,39.0,0.5893,0.3194,0.5923,71.8,0,0.0473,0.9162,RSU_01,134,80,S2_DP_IT,1,2,1
3,30.0,40.0,0.9292,0.0271,0.932,68.5,0,0.0283,0.0809,RSU_01,73,67,BENIGN,0,0,0
3,31.0,41.0,0.9263,0.0216,0.9286,55.0,0,0.0408,0.0159,RSU_01,87,79,BENIGN,0,0,0
3,32.0,42.0,0.8015,0.0188,0.8043,67.1,1,0.0424,0.0264,RSU_01,114,87,BENIGN,0,0,0
3,33.0,43.0,0.8943,0.0322,0.8976,80.0,0,0.043,0.0908,RSU_01,55,47,BENIGN,0,0,0
3,34.0,44.0,0.9324,0.0316,0.9361,87.2,0,0.0231,0.0387,RSU_01,112,105,BENIGN,0,0,0
3,35.0,45.0,0.9752,0.0134,0.9785,79.2,0,0.0054,0.0422,RSU_01,89,83,BENIGN,0,0,0
3,36.0,46.0,0.8634,0.0329,0.8658,57.6,0,0.0065,0.0317,RSU_01,146,124,BENIGN,0,0,0
3,37.0,47.0,0.7413,0.1408,0.7452,95.1,0,1.3537,0.1681,RSU_01,64,48,S3_DP_TS,1,3,1
3,38.0,48.0,0.9746,0.0013,0.9772,64.1,0,0.037,0.0313,RSU_01,116,114,BENIGN,0,0,0
3,39.0,49.0,0.9446,0.0359,0.9473,63.8,0,0.0351,0.0234,RSU_01,91,82,BENIGN,0,0,0
3,40.0,50.0,0.8708,0.0331,0.8737,69.2,1,0.002,0.0675,RSU_01,143,123,BENIGN,0,0,0
3,41.0,51.0,0.4588,0.003,0.4622,83.3,0,0.4046,0.2392,RSU_01,83,36,S5_CP_IT,1,5,1
3,42.0,52.0,0.8866,0.0126,0.8893,64.7,0,0.0793,0.0431,RSU_01,136,121,BENIGN,0,0,0
3,43.0,53.0,0.8187,0.0115,0.8216,71.1,0,0.0199,0.0685,RSU_01,68,54,BENIGN,0,0,0
3,44.0,54.0,0.9836,0.0055,0.9865,71.5,0,0.0335,0.085,RSU_01,143,141,BENIGN,0,0,0
3,45.0,55.0,0.8739,0.0316,0.8768,67.9,0,0.0642,0.072,RSU_01,52,43,BENIGN,0,0,0
3,46.0,56.0,0.953,0.0255,0.9559,68.9,0,0.005,0.0652,RSU_01,141,137,BENIGN,0,0,0
3,47.0,57.0,0.9162,0.0271,0.919,67.8,0,0.0706,0.0235,RSU_01,76,71,BENIGN,0,0,0
