node_id,window_start,window_end,pdr_mean,pdr_var,pdr_corrected,speed_kmh,is_handoff,kl_divergence,autocorr_peak,rsu_id,packets_received_total,packets_forwarded_total,ground_truth_label,is_attacker,label_multiclass,label_binary
1,175.0,185.0,0.9766,0.0376,0.9777,27.4,0,0.014,0.0875,RSU_02,123,118,BENIGN,0,0,0
1,42.0,52.0,0.8455,0.0321,0.8473,43.2,0,0.0689,0.0137,RSU_02,145,127,BENIGN,0,0,0
1,475.0,485.0,0.9449,0.0329,0.9466,41.8,0,0.0444,0.018,RSU_02,96,92,BENIGN,0,0,0
1,491.0,501.0,0.8159,0.0349,0.8174,36.2,0,0.0564,0.0085,RSU_02,115,91,BENIGN,0,0,0
1,86.0,96.0,0.8514,0.0348,0.8529,37.2,0,0.0071,0.0777,RSU_02,134,109,BENIGN,0,0,0
1,380.0,390.0,0.9549,0.005,0.9569,47.1,0,0.0104,0.0557,RSU_02,144,135,BENIGN,0,0,0
1,11.0,21.0,0.8635,0.0205,0.8651,38.1,0,0.0387,0.0383,RSU_02,133,112,BENIGN,0,0,0
1,369.0,379.0,0.8738,0.0102,0.8757,44.8,0,0.066,0.0485,RSU_02,104,88,BENIGN,0,0,0
1,208.0,218.0,0.962,0.0237,0.964,47.3,0,0.0102,0.0428,RSU_02,66,64,BENIGN,0,0,0
1,364.0,374.0,0.9692,0.027,0.9718,63.6,0,0.0507,0.0099,RSU_02,110,106,BENIGN,0,0,0
1,426.0,436.0,0.8834,0.0352,0.8852,44.3,0,0.033,0.0537,RSU_02,54,46,BENIGN,0,0,0
1,297.0,307.0,0.9491,0.034,0.951,46.8,0,0.044,0.0826,RSU_02,80,76,BENIGN,0,0,0
1,469.0,479.0,0.9579,0.0177,0.9596,39.0,0,0.0014,0.0075,RSU_02,101,98,BENIGN,0,0,0
1,39.0,49.0,0.8184,0.0383,0.8203,45.3,0,0.0301,0.0339,RSU_02,56,46,BENIGN,0,0,0
1,421.0,431.0,0.7818,0.0336,0.7833,37.5,0,0.0026,0.094,RSU_02,139,106,BENIGN,0,0,0
1,354.0,364.0,0.8859,0.0218,0.8877,44.6,0,0.0227,0.0948,RSU_02,134,116,BENIGN,0,0,0
1,63.0,73.0,0.9763,0.0364,0.9781,42.0,0,0.0656,0.0888,RSU_02,69,66,BENIGN,0,0,0
1,400.0,410.0,0.8813,0.0037,0.8831,42.3,0,0.0614,0.0747,RSU_02,81,72,BENIGN,0,0,0
1,180.0,190.0,0.9514,0.0151,0.9529,37.2,0,0.0071,0.0342,RSU_02,148,140,BENIGN,0,0,0
1,322.0,332.0,0.8202,0.0202,0.8222,48.0,0,0.0693,0.0241,RSU_02,57,45,BENIGN,0,0,0
1,202.0,212.0,0.9528,0.0005,0.9547,47.7,0,0.0434,0.046,RSU_02,99,94,BENIGN,0,0,0
1,145.0,155.0,0.9127,0.0207,0.9147,49.5,0,0.0041,0.0233,RSU_02,99,90,BENIGN,0,0,0
1,358.0,368.0,0.9793,0.0098,0.9811,42.8,0,0.0426,0.0482,RSU_02,120,116,BENIGN,0,0,0
1,310.0,320.0,0.8814,0.0166,0.8834,47.4,0,0.0782,0.0201,RSU_02,71,61,BENIGN,0,0,0
1,3.0,13.0,0.7968,0.0191,0.7988,46.0,0,0.0504,0.0829,RSU_02,128,104,BENIGN,0,0,0
1,351.0,361.0,0.7892,0.0288,0.7911,46.4,0,0.0356,0.0256,RSU_02,69,50,BENIGN,0,0,0
1,220.0,230.0,0.9484,0.0187,0.9504,47.4,0,0.0289,0.0108,RSU_02,137,129,BENIGN,0,0,0
1,396.0,406.0,0.9247,0.0206,0.9259,28.9,0,0.016,0.032,RSU_02,109,99,BENIGN,0,0,0
1,265.0,275.0,0.9897,0.001,0.9913,37.3,0,0.0668,0.0365,RSU_02,134,133,BENIGN,0,0,0
1,294.0,304.0,0.8399,0.0317,0.8414,35.8,0,0.0725,0.0975,RSU_02,73,60,BENIGN,0,0,0
1,301.0,311.0,0.8248,0.027,0.8268,46.8,0,0.0324,0.0932,RSU_02,58,46,BENIGN,0,0,0
1,483.0,493.0,0.8307,0.0204,0.832,30.4,1,0.0304,0.0448,RSU_02,148,122,BENIGN,0,0,0
1,340.0,350.0,0.8663,0.0252,0.8683,48.0,0,0.0559,0.0711,RSU_02,55,44,BENIGN,0,0,0
1,451.0,461.0,0.9121,0.0047,0.9139,42.9,0,0.0524,0.0283,RSU_02,50,43,BENIGN,0,0,0
