node_id,window_start,window_end,pdr_mean,pdr_var,pdr_corrected,speed_kmh,is_handoff,kl_divergence,autocorr_peak,rsu_id,packets_received_total,packets_forwarded_total,ground_truth_label,is_attacker
0,0.0,10.0,0.7922,0.0346,0.7935,30.5,0,0.0481,0.0708,RSU_01,52,41,BENIGN,0
0,1.0,11.0,0.8439,0.021,0.8453,34.7,0,0.0346,0.0291,RSU_01,111,92,BENIGN,0
0,2.0,12.0,0.8758,0.0314,0.8773,35.9,0,0.016,0.0514,RSU_01,109,93,BENIGN,0
0,3.0,13.0,0.7937,0.038,0.7953,40.3,0,0.0773,0.0808,RSU_01,80,62,BENIGN,0
0,4.0,14.0,0.8056,0.0198,0.8074,41.7,0,0.0028,0.0909,RSU_01,75,59,BENIGN,0
0,5.0,15.0,0.8948,0.0074,0.896,29.2,0,0.0776,0.0775,RSU_01,143,130,BENIGN,0
0,6.0,16.0,0.7986,0.0078,0.8003,41.1,0,0.0036,0.0325,RSU_01,88,72,BENIGN,0
0,7.0,17.0,0.839,0.0217,0.8409,45.6,0,0.0113,0.0802,RSU_01,57,46,BENIGN,0
0,8.0,18.0,0.942,0.003,0.9438,44.0,0,0.0287,0.0116,RSU_01,136,129,BENIGN,0
0,9.0,19.0,0.8453,0.013,0.8464,27.3,0,0.0584,0.0638,RSU_01,138,118,BENIGN,0
0,10.0,20.0,0.9398,0.0225,0.9411,31.1,0,0.0617,0.0494,RSU_01,102,95,BENIGN,0
0,11.0,21.0,0.7866,0.0255,0.7881,36.2,0,0.0251,0.0509,RSU_01,140,110,BENIGN,0
0,12.0,22.0,0.828,0.0031,0.8295,35.1,0,0.0232,0.0161,RSU_01,142,114,BENIGN,0
0,13.0,23.0,0.9488,0.0075,0.9506,43.4,0,0.0714,0.0539,RSU_01,130,125,BENIGN,0
0,14.0,24.0,0.8279,0.0171,0.8294,36.9,0,0.0654,0.0861,RSU_01,50,42,BENIGN,0
0,15.0,25.0,0.8052,0.0135,0.8059,18.1,0,0.0754,0.0323,RSU_01,101,82,BENIGN,0
0,16.0,26.0,0.9821,0.0101,0.9834,31.8,0,0.0398,0.0301,RSU_01,78,78,BENIGN,0
0,17.0,27.0,0.7908,0.0111,0.7925,40.2,0,0.0727,0.024,RSU_01,64,49,BENIGN,0
0,18.0,28.0,0.9211,0.0305,0.9229,42.1,0,0.019,0.0728,RSU_01,86,79,BENIGN,0
0,19.0,29.0,0.799,0.0334,0.8011,50.6,0,0.0257,0.0187,RSU_01,54,45,BENIGN,0
0,20.0,30.0,0.8875,0.0091,0.8897,53.0,1,0.0516,0.0174,RSU_01,119,107,BENIGN,0
0,21.0,31.0,0.8516,0.0045,0.8535,44.3,0,0.074,0.0877,RSU_01,75,63,BENIGN,0
0,22.0,32.0,0.8912,0.0097,0.8932,47.7,0,0.0074,0.0897,RSU_01,140,125,BENIGN,0
0,23.0,33.0,0.9325,0.0359,0.9336,27.8,0,0.071,0.078,RSU_01,114,108,BENIGN,0
0,24.0,34.0,0.8013,0.0265,0.803,41.2,1,0.0004,0.0161,RSU_01,104,85,BENIGN,0
0,25.0,35.0,0.9296,0.0095,0.9315,47.8,0,0.026,0.0746,RSU_01,114,108,BENIGN,0
0,26.0,36.0,0.7997,0.0147,0.8015,42.8,0,0.0212,0.0244,RSU_01,147,119,BENIGN,0
0,27.0,37.0,0.9469,0.0201,0.9488,46.4,0,0.0462,0.0493,RSU_01,69,64,BENIGN,0
0,28.0,38.0,0.9155,0.0071,0.9169,31.7,1,0.0752,0.0954,RSU_01,141,131,BENIGN,0
0,29.0,39.0,0.9824,0.0341,0.984,38.4,0,0.0236,0.0385,RSU_01,135,134,BENIGN,0
0,30.0,40.0,0.9766,0.0278,0.9779,32.0,0,0.0456,0.0097,RSU_01,111,107,BENIGN,0
0,31.0,41.0,0.9264,0.0281,0.9284,47.8,0,0.0288,0.0294,RSU_01,130,120,BENIGN,0
0,32.0,42.0,0.8874,0.0201,0.8891,41.8,0,0.0639,0.065,RSU_01,120,107,BENIGN,0
0,33.0,43.0,0.8589,0.0038,0.8606,41.2,0,0.0463,0.0036,RSU_01,96,82,BENIGN,0
0,34.0,44.0,0.7864,0.0015,0.7874,25.1,0,0.0658,0.036,RSU_01,62,49,BENIGN,0
0,35.0,45.0,0.9108,0.0034,0.913,51.8,0,0.0041,0.0531,RSU_01,104,94,BENIGN,0
0,36.0,46.0,0.8884,0.0129,0.8905,50.3,0,0.0636,0.0271,RSU_01,93,84,BENIGN,0
0,37.0,47.0,0.8129,0.01,0.8142,33.2,0,0.0439,0.0715,RSU_01,116,97,BENIGN,0
0,38.0,48.0,0.8681,0.0099,0.8699,42.4,0,0.0285,0.0758,RSU_01,51,47,BENIGN,0
0,39.0,49.0,0.8832,0.0189,0.8848,37.5,0,0.0139,0.0434,RSU_01,89,82,BENIGN,0
0,40.0,50.0,0.8587,0.025,0.8608,51.7,1,0.0403,0.0856,RSU_01,115,101,BENIGN,0
0,41.0,51.0,0.9774,0.023,0.979,37.7,0,0.0311,0.0643,RSU_01,95,92,BENIGN,0
0,42.0,52.0,0.9819,0.0362,0.9837,44.9,0,0.0157,0.0069,RSU_01,60,59,BENIGN,0
0,43.0,53.0,0.9574,0.0009,0.9589,35.5,0,0.0652,0.0282,RSU_01,61,58,BENIGN,0
0,44.0,54.0,0.9344,0.0321,0.9363,47.0,0,0.0226,0.0177,RSU_01,125,119,BENIGN,0
